attribute,R1_vs_R2,R1_vs_R3,R2_vs_R3
Compatibility,0.8610766559166461,0.8154981549815499,0.9368800721370604
Flexibility,0.8735177865612649,0.8274111675126904,0.9086294416243654
Functional Suitability,0.7411764705882353,0.8200514138817481,0.861671469740634
Interaction Capability,0.7895032276171765,0.857278782112274,0.854872650751034
Maintainability,0.8969807433235597,0.8422712933753943,0.8665620094191523
Performance Efficiency,0.8880757640981489,0.8468330480223444,0.8730734360834089
Reliability,0.8774509803921569,0.884166443909828,0.9225206611570248
Safety,0.49811794228356343,0.49811794228356343,1.0
Security,0.9558011049723757,0.9558011049723757,0.9771428571428571
OVERALL_MACRO_AVERAGE,0.8201889639725697,0.816381039005752,0.9112613997839486
