repo_name,iso_family,layer
magistrala,Data,Cross-cutting
supermq,Data,Cross-cutting
aXeleRate,Data,Device
aXeleRate,Data,Fog
zilla,Interface,Cross-cutting
heartkit,Data,Device
heartkit,Data,Fog
sleepkit,Data,Device
sleepkit,Data,Fog
ai8x-synthesis,Data,Device
ai8x-synthesis,Data,Fog
ai8x-training,Data,Device
ai8x-training,Data,Fog
aws-iot-fleetwise-edge,Data,Edge
aws-iot-fleetwise-edge,Data,Fog
dem,Supporting,Edge
dem,Supporting,Fog
azure-iot-edge-identity-translation-lite,Data,Cross-cutting
edge-aio-in-a-box,Supporting,Cross-cutting
azure-iotedge,Supporting,Device
azure-iotedge,Supporting,Fog
iotedge,Supporting,Cross-cutting
iotedge-eflow,Supporting,Cross-cutting
iotedge-lorawan-starterkit,Data,Cross-cutting
KAN,Interface,Cross-cutting
baetyl,Supporting,Cross-cutting
Olares,Data,Device
Olares,Data,Fog
JAMScript,Supporting,Device
JAMScript,Supporting,Fog
FogBus2,Supporting,Edge
FogBus2,Supporting,Cloud
tflite_beam,Supporting,Device
tflite_beam,Supporting,Fog
tflite_elixir,Data,Device
tflite_elixir,Data,Fog
BitNetMCU,Data,Device
BitNetMCU,Data,Fog
motion-ai,Data,Device
motion-ai,Data,Fog
leapfrogai,Data,Cross-cutting
UA-EdgeHEMS,Data,Device
UA-EdgeHEMS,Data,Edge
NanoLLM,Data,Device
NanoLLM,Data,Edge
kura,Interface,Cross-cutting
edgehog,Supporting,Cross-cutting
edgehog-device-runtime,Data,Device
edgehog-device-runtime,Data,Fog
edgen,Data,Device
edgen,Data,Fog
shifu,Interface,Cross-cutting
evio,Interface,Edge
evio,Interface,Fog
emlearn,Data,Device
emlearn,Data,Fog
nn-comp,Data,Device
nn-comp,Data,Fog
GPT-Telegramus,Interface,Edge
GPT-Telegramus,Interface,Cloud
fabedge,Interface,Edge
fabedge,Interface,Fog
fledge,Data,Device
fledge,Data,Edge
pipy,Interface,Edge
pipy,Interface,Cloud
trusted-connector,Data,Edge
trusted-connector,Data,Cloud
solo-server,Data,Edge
solo-server,Data,Cloud
LiteRT,Data,Device
LiteRT,Data,Fog
inngest,Supporting,Fog
inngest,Supporting,Cloud
AiCSD,Data,Edge
AiCSD,Data,Fog
compage,Supporting,Fog
compage,Supporting,Cloud
AISonobuoy,Transducer,Device
AISonobuoy,Transducer,Edge
BirdsEye,Data,Edge
BirdsEye,Data,Fog
jevois,Data,Device
jevois,Data,Edge
DeepStack,Data,Device
DeepStack,Data,Fog
AI-on-the-edge-device,Data,Device
AI-on-the-edge-device,Data,Fog
SydneyQt,Interface,Cross-cutting
keylime,Supporting,Cross-cutting
kubeedge,Supporting,Cross-cutting
edge-home-orchestration-go,Supporting,Device
edge-home-orchestration-go,Supporting,Fog
ekuiper,Data,Device
ekuiper,Data,Fog
eve,Supporting,Edge
eve,Supporting,Cloud
TPI-LLM,Data,Edge
TPI-LLM,Data,Cloud
hal-9100,Data,Edge
hal-9100,Data,Cloud
loxilb,Data,Edge
loxilb,Data,Cloud
luos_engine,Supporting,Device
luos_engine,Supporting,Fog
macchina.io,Data,Cross-cutting
microflow-rs,Data,Device
microflow-rs,Data,Edge
tokay-lite-sdk,Supporting,Device
tokay-lite-sdk,Supporting,Fog
mindspore,Data,Cross-cutting
xsai,Interface,Device
xsai,Interface,Fog
montithings,Supporting,Device
montithings,Supporting,Fog
nabto-embedded-sdk,Data,Device
nabto-embedded-sdk,Data,Edge
nanomq,Data,Device
nanomq,Data,Fog
edgerunner,Supporting,Device
edgerunner,Supporting,Fog
ai-edge,Data,Edge
ai-edge,Data,Fog
microshift,Supporting,Edge
microshift,Supporting,Cloud
model_server,Data,Cross-cutting
openvino_testdrive,Data,Device
openvino_testdrive,Data,Fog
executorch,Data,Edge
executorch,Data,Fog
rhel-edge-automation-arch,Supporting,Edge
rhel-edge-automation-arch,Supporting,Fog
redpanda-edge-agent,Data,Edge
redpanda-edge-agent,Data,Cloud
viseron,Data,Device
viseron,Data,Fog
salt,Supporting,Edge
